WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f8:e9:03:14:72:44,071889240,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:13,1,-90,32.16692966,34.80836155,15,4,WIFI
fa:8f:ca:93:a5:64,,[ESS],2017-10-27 16:37:13,6,-82,32.16692966,34.80836155,15,4,WIFI
44:33:4c:1c:0f:59,Pantum-AP-1C0F59,[ESS],2017-10-27 16:37:13,11,-89,32.16692966,34.80836155,15,4,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:16,6,-82,32.166863,34.80849455,17,4,WIFI
14:ae:db:3d:b1:52,EL,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:16,9,-82,32.166863,34.80849455,17,4,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:16,5,-90,32.166863,34.80849455,17,4,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:16,5,-94,32.166863,34.80849455,17,4,WIFI
68:94:23:24:b1:82,HP-Print-82-LaserJet 200 color,[ESS],2017-10-27 16:37:16,6,-92,32.166863,34.80849455,17,4,WIFI
08:97:58:33:b7:cc,wifi in car-1794,[WPA-PSK-CCMP][WPS][ESS],2017-10-27 16:37:19,1,-82,32.16680671,34.80857819,17,4,WIFI
00:f6:63:3a:f4:80,kaymeraQA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP][ESS][P2P],2017-10-27 16:37:19,1,-84,32.16680671,34.80857819,17,4,WIFI
8c:59:c3:a2:9d:69,gigi1932,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:19,11,-89,32.16680671,34.80857819,17,4,WIFI
00:f6:63:3a:f4:82,KaymeraGuest,[ESS],2017-10-27 16:37:19,1,-80,32.16680671,34.80857819,17,4,WIFI
e4:d5:3d:7d:d6:a2,HP-Print-a2-LaserJet 400 color,[ESS],2017-10-27 16:37:19,6,-91,32.16680671,34.80857819,17,4,WIFI
a0:ab:1b:62:a7:bc,Home.,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:22,1,-87,32.16679377,34.8086177,16,4,WIFI
c0:56:27:a0:6c:9a,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:22,3,-90,32.16679377,34.8086177,16,4,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:22,5,-89,32.16679377,34.8086177,16,4,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:22,3,-79,32.16679377,34.8086177,16,4,WIFI
00:f6:63:3a:f4:81,KaymeraDev,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:22,1,-82,32.16679377,34.8086177,16,4,WIFI
30:b5:c2:6d:c9:e0,TP-LINK_6CF1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:22,11,-93,32.16679377,34.8086177,16,4,WIFI
cc:16:7e:97:1d:90,kaymeraQA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP][ESS][P2P],2017-10-27 16:37:29,1,-93,32.16671281,34.80872443,22,4,WIFI
fa:8f:ca:91:09:b4,,[ESS],2017-10-27 16:37:29,11,-90,32.16671281,34.80872443,22,4,WIFI
10:fe:ed:62:9e:5c,RTI 15,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:32,5,-93,32.16652877,34.80876004,24,3,WIFI
50:68:0a:66:c8:45,Partner-4G-C845,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:32,8,-85,32.16652877,34.80876004,24,3,WIFI
06:8d:db:6e:71:ab,888Free,[ESS],2017-10-27 16:37:32,1,-92,32.16652877,34.80876004,24,3,WIFI
82:4c:a5:1a:71:67,4GT,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:35,1,-91,32.16627842,34.80860037,25,3,WIFI
00:02:6f:bb:fd:ac,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:38,1,-85,32.16602039,34.8084001,24,4,WIFI
00:02:6f:a6:f1:f3,Pitarohecht,[WEP][ESS],2017-10-27 16:37:38,1,-92,32.16602039,34.8084001,24,4,WIFI
82:4c:a5:1a:71:67,4GT,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:38,1,-80,32.16602039,34.8084001,24,4,WIFI
94:10:3e:a8:34:9a,4G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:37:38,11,-66,32.16602039,34.8084001,24,4,WIFI
92:4c:a5:1a:71:67,ID,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:38,1,-78,32.16602039,34.8084001,24,4,WIFI
70:4c:a5:1a:71:67,CMT-Guests,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:38,1,-79,32.16602039,34.8084001,24,4,WIFI
a2:4c:a5:1a:71:67,Retention,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:38,1,-79,32.16602039,34.8084001,24,4,WIFI
00:1d:aa:34:1e:58,Efrat Networks NC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:41,11,-78,32.16577658,34.80816783,24,4,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,5,-86,32.16577658,34.80816783,24,4,WIFI
c0:56:27:a0:6c:9a,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,3,-91,32.16577658,34.80816783,24,4,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,5,-85,32.16577658,34.80816783,24,4,WIFI
08:97:58:33:b7:cc,wifi in car-1794,[WPA-PSK-CCMP][WPS][ESS],2017-10-27 16:37:41,1,-88,32.16577658,34.80816783,24,4,WIFI
00:f6:63:3a:f4:80,kaymeraQA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP][ESS][P2P],2017-10-27 16:37:41,1,-90,32.16577658,34.80816783,24,4,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:41,3,-85,32.16577658,34.80816783,24,4,WIFI
00:f6:63:3a:f4:82,KaymeraGuest,[ESS],2017-10-27 16:37:41,1,-92,32.16577658,34.80816783,24,4,WIFI
00:f6:63:3a:f4:81,KaymeraDev,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,1,-90,32.16577658,34.80816783,24,4,WIFI
30:f7:72:6e:8e:a0,HP-Print-A0-LaserJet Pro MFP,[ESS],2017-10-27 16:37:41,6,-90,32.16577658,34.80816783,24,4,WIFI
cc:b2:55:e7:bf:ba,Hacker,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,6,-93,32.16577658,34.80816783,24,4,WIFI
14:ae:db:b3:7b:65,Bezeq2.4,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:41,6,-90,32.16577658,34.80816783,24,4,WIFI
6c:2e:85:fe:9f:bc,HOTBOX-D124,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:41,1,-90,32.16577658,34.80816783,24,4,WIFI
4c:e6:76:22:44:af,tzunami2,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:41,4,-93,32.16577658,34.80816783,24,4,WIFI
cc:16:7e:97:1d:90,kaymeraQA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP][ESS][P2P],2017-10-27 16:37:44,1,-93,32.16554915,34.80794021,23,4,WIFI
fa:8f:ca:91:09:b4,,[ESS],2017-10-27 16:37:44,11,-90,32.16554915,34.80794021,23,4,WIFI
14:ae:db:43:44:ad,Ganel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:37:44,11,-92,32.16554915,34.80794021,23,4,WIFI
4e:d9:e7:59:4a:f2,MVGuest,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:44,1,-93,32.16554915,34.80794021,23,4,WIFI
08:5b:0e:5f:b0:78,HWL,[WPA-PSK-CCMP][WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:37:44,11,-93,32.16554915,34.80794021,23,4,WIFI
ee:39:c3:92:e3:6d,SETUP,[IBSS],2017-10-27 16:37:44,11,-94,32.16554915,34.80794021,23,4,WIFI
10:fe:ed:62:9e:5c,RTI 15,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:47,5,-93,32.16530821,34.80769442,22,4,WIFI
50:68:0a:66:c8:45,Partner-4G-C845,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,8,-86,32.16530821,34.80769442,22,4,WIFI
06:8d:db:6e:71:ab,888Free,[ESS],2017-10-27 16:37:47,1,-92,32.16530821,34.80769442,22,4,WIFI
14:ae:db:43:44:ad,Ganel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:37:47,11,-87,32.16530821,34.80769442,22,4,WIFI
82:15:54:a8:8d:ef,AppsFlyer Guest,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,36,-88,32.16530821,34.80769442,22,4,WIFI
8e:15:54:a8:8d:ef,AppsFlyer R&D,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,36,-90,32.16530821,34.80769442,22,4,WIFI
de:9f:db:7f:73:aa,Cloudius,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,1,-86,32.16530821,34.80769442,22,4,WIFI
ee:9f:db:7f:73:aa,rainbow,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,1,-90,32.16530821,34.80769442,22,4,WIFI
14:ae:db:3a:6d:95,sunmotors,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:47,6,-92,32.16530821,34.80769442,22,4,WIFI
00:25:86:b0:42:ae,Off-Oz,[WEP][ESS],2017-10-27 16:37:47,6,-93,32.16530821,34.80769442,22,4,WIFI
f0:3e:90:0f:4c:b8,GINI-APPS,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:50,1,-84,32.16504704,34.80746023,19,4,WIFI
04:a1:51:13:13:37,F-Z,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:50,11,-85,32.16504704,34.80746023,19,4,WIFI
14:af:db:bd:de:12,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:50,6,-92,32.16504704,34.80746023,19,4,WIFI
80:1f:02:38:6a:b0,COMET,[WEP][ESS],2017-10-27 16:37:50,11,-90,32.16504704,34.80746023,19,4,WIFI
28:f0:76:3d:81:f8,Gil?s iMac,[ESS],2017-10-27 16:37:50,8,-94,32.16504704,34.80746023,19,4,WIFI
68:94:23:24:b1:82,HP-Print-82-LaserJet 200 color,[ESS],2017-10-27 16:37:50,6,-91,32.16504704,34.80746023,19,4,WIFI
